"","Continent","Country","State","GeoLocationID"
"1","North America","USA","New York",1
"2","North America","USA","Minnesota",2
"3","North America","USA","Wisconsin",3
"4","North America","USA","Maine",4
"5","North America","Canada","Vancouver",5
"6","North America","USA","Washington",6
"7","North America","USA","Idaho",7
"8","North America","USA","Not Recorded",8
"11","Asia","Laos","Attapeu",9
"12","Asia","Laos","Vientiane",10
"13","Oceania","Solomon Islands","Not Recorded",11
"15","South America","Brazil","Ferreira Gomez",12
"19","South America","Brazil","Macapa",13
"20","South America","Brazil","Fierreira Gomez",14
"55","Oceania","Solomon Islands","Kolombangara Island",15
"168","North America","Canada","BC",16
"193","North America","USA","Oregon",17
"197","North America","USA","California",18
"278","North America","USA","Vermont",19
"285","Asia","Laos","Savannakhet",20
"286","Asia","Laos","Khammouane",21
"292","Asia","Laos","Bolikhamsay",22
"297","Asia","Laos","Laos",23
"298","South America","Peru","Iberia",24
"300","Oceania","Solomon Islands","New Georgia Group",25
"302","Central America","Mexico","Coatepec",26
"303","Central America","Mexico","Chignahuapan",27
"312","Oceania","Papua New Guinea","Kairuku-Hiri,",28
"313","South America","Peru","Inapari",29
"317","South America","Peru","Reserva Territorial Madre de Dios",30
"320","South America","Peru","Nueva Requena",31
"321","South America","Peru","Tahuamanu",32
"324","South America","Colombia","Tolima",33
"325","South America","Colombia1220","Tolima",34
"338","Asia","Laos","Not Recorded",35
"340","South America","Brazil","Terra Santa",36
"342","South America","Brazil","Belterra",37
"343","South America","Brazil","State of Para",38
"346","South America","Brazil","Para",39
"361","South America","Peru","Not Recorded",40
"365","South America","Colombia1220","Santa Rosa de Cabal,",41
"375","South America","Colombia1232","Tolima",42
"376","South America","Colombia1233","Tolima",43
"377","South America","Colombia1234","Tolima",44
"378","South America","Colombia1235","Tolima",45
"383","Africa","Gabon","Etimboue",46
"386","Africa","Gabon","Ogooue-Lolo",47
"393","Africa","Gabon","Moukalaba-Doudau National Park",48
"394","Africa","Gabon","Ndolou",49
"395","Africa","Gabon","Douya-Onoy",50
"397","Africa","Gabon","Boumi-Louetsi",51
