"Family","Genus","Species","TaxonomyID"
"Pinaceae","Abies","balsamea",1
"Pinaceae","Abies","grandis",2
"Pinaceae","Abies","procera",3
"Pinaceae","Abies","sp.",4
"Fabaceae","Acacia","harmandiana",5
"Fabaceae","Acacia","auriculiformis",6
"Fabaceae","Acacia","mangium",7
"Calophyllaceae","Acacia","mangium",8
"Sapindaceae","Acer","macrophyllum",9
"Sapindaceae","Acer","rubrum",10
"Sapindaceae","Acer","saccharum",11
"Sapindaceae","Acer","sp.",12
"Rubiaceae","Adina","cordifolia",13
"Fabaceae","Adinobotrys","atropuroureus",14
"Sapindaceae","Aesculus","glabra",15
"Fabaceae","Afzelia","xylocarpa",16
"Meliaceae","Aglaia","sp.",17
"Fabaceae","Albizia","lebbeck",18
"Fabaceae","Albizia","saman",19
"Lecythidaceae","Allantoma","decandra",20
"Sapindaceae","Allophylus","cobbe",21
"Betulaceae","Alnus","acuminata",22
"Alnus","Alnus","arguta",23
"Betulaceae","Alnus","rubra",24
"Alnus","Alnus","sp.",25
"Apocynaceae","Alstonia","scholaris",26
"Fabaceae","Amburana","acreana",27
"Fabaceae","Amburana","cearensis",28
"Anacardiaceae","Anacardium","excelsum",29
"Lauraceae","Aniba","sp.",30
"Dipterocarpaceae","Anisoptera","costata",31
"Phyllanthaceae","Aporosa","sp.",32
"Fabaceae","Apuleia","leiocarpa",33
"Araucariaceae","Araucaria","sp.",34
"Ericaceae","Arbutus","menziesii",35
"Moraceae","Artocarpus","heterophyllus",36
"Moraceae","Artocarpus","lacucha",37
"Apocynaceae","Aspidosperma","excelsum",38
"Apocynaceae","Aspidosperma","macrocarpon",39
"Apocynaceae","Aspidosperma","Not Recorded",40
"Apocynaceae","Aspidosperma","sp.",41
"Burseraceae","Aucoumea","klaineana",42
"Aucoumea","Aucoumea","klaineana",43
"Meliaceae","Azadirachta","indica",44
"Azadirachta","Azadirachta","indica",45
"Sapotaceae","Baillonella","toxisperma",46
"Fabaceae","Barnebydendron","riedelii",47
"Lecythidaceae","Barringtonia","longipes",48
"Fabaceae","Bauhinia","sp.",49
"Malvaceae","Berrya","cordifolia",50
"Lecythidaceae","Bertholletia","excelsa",51
"Betulaceae","Betula","alleghaniensis",52
"Betulaceae","Betula","alnoides",53
"Betulaceae","Betula","pendula",54
"Betulaceae","Betula","pubescens",55
"Betulaceae","Betula","sp.",56
"Not Recorded","Bianacaea","sappan",57
"Fabaceae","Bobgunnia","madagascariensis",58
"Fabaceae","Bocoa","prouacensis",59
"Malvaceae","Bombax","anceps",60
"Rubiaceae","Breonia","chinensis",61
"Moraceae","Brosimum","alicastrum",62
"Moraceae","Brosimum","guianense",63
"Moraceae","Brosimum","rubenscens",64
"Moraceae","Brosimum","sp.",65
"Moraceae","Brosimum","utile",66
"Meliaceae","Cabralea","canjerana",67
"Fabaceae","Caesalpinia","bonducella",68
"Fabaceae","Caesalpinia","granadillo",69
"Cupressaceae","Callitropsis","nootkatensis",70
"Cupressaceae","Calocedrus","decurrens",71
"Clusiaceae","Calophyllum","brasiliense",72
"Calophyllaceae","Calophyllum","kajewskii",73
"Calophyllaceae","Calophyllum","peekelii",74
"Clusiaceae","Calophyllum","soulattri",75
"Calophyllaceae","Calophyllum","sp.",76
"Rubiaceae","Calycophyllum","megistocaulum",77
"Rubiaceae","Calycophyllum","spruceanum",78
"Anacardiaceae","Campnosperma","brevipetiolatum",79
"Calophyllaceae","Campnosperma","brevipetiolatum",80
"Anacardiaceae","Campnosperma","sp.",81
"Burseraceae","Canarium","subulatum",82
"Rhizophoraceae","Carallia","brachiata",83
"Lecythidaceae","Careya","sphaerica",84
"Lecythidaceae","Cariniana","estrellensis",85
"Betulaceae","Carpinus","caroliniana",86
"Juglandaceae","Carya","illinoinensis",87
"Juglandaceae","Carya","ovata",88
"Caryocaraceae","Caryocar","glabrum",89
"Fabaceae","Cassia","fistula",90
"Fagaceae","Castanea","dentata",91
"Fagaceae","Castanopsis","sp.",92
"Bignoniaceae","Catalpa","speciosa",93
"Meliaceae","Cedrela","fissilis",94
"Meliaceae","Cedrela","odorata",95
"Fabaceae","Cedrelinga","cateniformis",96
"Malvaceae","Ceiba","insignis",97
"Malvaceae","Ceiba","lupuna",98
"Malvaceae","Ceiba","pentandra",99
"Malvaceae","Ceiba","samauma",100
"Malvaceae","Ceiba","sp.",101
"Cannabaceae","Celtis","occidentalis",102
"Cannabaceae","Celtis","sp.",103
"Peraceae","Chaetocarpus","castanocarpus",104
"Cupressaceae","Chamaecyparis","lawsoniana",105
"Cupressaceae","Chamaecyparis","thyoides",106
"Lauraceae","Chlorocardium","rodiei",107
"Clusiaceae","Chrysochlamys","colombiana",108
"Meliaceae","Chukrasia","tabularis",109
"Unknown","Cigarette","Proof Panel",110
"Lauraceae","Cinnamomum","iners",111
"Moraceae","Clarisia","racemosa",112
"Fabaceae","Copaifera","officinalis",113
"Fabaceae","Copaifera","paupera",114
"Fabaceae","Copaifera","reticulata",115
"Boraginaceae","Cordia","alliodora",116
"Cornaceae","Cornus","nuttallii",117
"Apocynaceae","Couma","macrocarpa",118
"Lecythidaceae","Couratari","macrosperma",119
"Hypericaceae","Cratoxylum","sp.",120
"Cupressaceae","Cunninghamia","lanceolata",121
"Fabaceae","Cylicodiscus","gabonensis",122
"Fabaceae","Dalbergia","cana var. cana",123
"Gentianceae","Dalbergia","cana var. cana",124
"Fabaceae","Dalbergia","oliveri",125
"Fabaceae","Delonix","regia",126
"Fabaceae","Dialium","cochinchinense",127
"Fabaceae","Dialium","indum",128
"Fabaceae","Didelotia","africana",129
"Dilleniaceae","Dillenia","sp.",130
"Ebenaceae","Diospyros","assimilis",131
"Ebenaceae","Diospyros","discolor",132
"Ebenaceae","Diospyros","ebenum",133
"Ebenaceae","Diospyros","malabarica",134
"Ebenaceae","Diospyros","martabanica",135
"Ebenaceae","Diospyros","melanoxylon",136
"Ebenaceae","Diospyros","mun",137
"Ebenaceae","Diospyros","virginiana",138
"Dipterocarpaceae","Dipterocarpus","alatus",139
"Dipterocarpaceae","Dipterocarpus","intricatus",140
"Dipterocarpaceae","Dipterocarpus","obtusifolius",141
"Dipterocarpaceae","Dipterocarpus","retusus",142
"Dipterocarpaceae","Dipterocarpus","tuberculatus",143
"Fabaceae","Dipteryx","micrantha",144
"Fabaceae","Dipteryx","odorata",145
"Fabaceae","Dipteryx","sp.",146
"Pinaceae","Pseudotsuga","menziesii",147
"Dracontomelon","Dracontomelon","dao",148
"Anacardiaceae","Dracontomelon","dao",149
"Lythraceae","Duabanga","grandiflora",150
"Not Recorded","Elmerrillia","champaca",151
"Lauraceae","Endlicheria","sp.",152
"Entandrophragma","Entandrophragma","cylindricum",153
"Entandrophragma","Entandrophragma","utile",154
"Vochysiaceae","Erisma","lanceolatum",155
"Vochysiaceae","Erisma","uncinatum",156
"Fabaceae","Erythrophleum","fordii",157
"Erythrophleum","Erythrophleum","suaveolens",158
